x-axis,h=5,h=10,h=15,h=20,h=25,h=30,h=35,h=40,
107000000000000000000,900000038146972656,900063476562500000,900729166666666666,902578125000000000,905375000000000000,908958333333333333,912142857142857142,916562500000000000,
108000000000000000000,900000033378601074,900058593750000000,900703125000000000,902500000000000000,905250000000000000,908750000000000000,911964285714285714,916250000000000000,
109000000000000000000,900000028610229492,900053710937500000,900677083333333333,902421875000000000,905125000000000000,908541666666666666,911785714285714285,915937500000000000,
110000000000000000000,900000023841857910,900048828125000000,900651041666666666,902343750000000000,905000000000000000,908333333333333333,911607142857142857,915625000000000000,
111000000000000000000,900000021457672119,900046386718750000,900625000000000000,902265625000000000,904875000000000000,908125000000000000,911428571428571428,915312500000000000,
112000000000000000000,900000019073486328,900043945312500000,900598958333333333,902187500000000000,904750000000000000,907916666666666666,911250000000000000,915000000000000000,
113000000000000000000,900000016689300537,900041503906250000,900572916666666666,902109375000000000,904625000000000000,907708333333333333,911071428571428571,914687500000000000,
114000000000000000000,900000014305114746,900039062500000000,900546875000000000,902031250000000000,904500000000000000,907500000000000000,910892857142857142,914375000000000000,
115000000000000000000,900000011920928955,900036621093750000,900520833333333333,901953125000000000,904375000000000000,907291666666666666,910714285714285714,914062500000000000,
116000000000000000000,900000010728836059,900034179687500000,900494791666666666,901875000000000000,904250000000000000,907083333333333333,910535714285714285,913750000000000000,
117000000000000000000,900000009536743164,900031738281250000,900468750000000000,901796875000000000,904125000000000000,906875000000000000,910357142857142857,913437500000000000,
118000000000000000000,900000008344650268,900029296875000000,900442708333333333,901718750000000000,904000000000000000,906666666666666666,910178571428571428,913125000000000000,
119000000000000000000,900000007152557373,900026855468750000,900416666666666666,901640625000000000,903875000000000000,906458333333333333,910000000000000000,912812500000000000,
120000000000000000000,900000005960464477,900024414062500000,900390625000000000,901562500000000000,903750000000000000,906250000000000000,909821428571428571,912500000000000000,
121000000000000000000,900000005364418029,900023193359375000,900377604166666666,901523437500000000,903625000000000000,906145833333333333,909642857142857142,912343750000000000,
122000000000000000000,900000004768371582,900021972656250000,900364583333333333,901484375000000000,903500000000000000,906041666666666666,909464285714285714,912187500000000000,
123000000000000000000,900000004172325134,900020751953125000,900351562500000000,901445312500000000,903375000000000000,905937500000000000,909285714285714285,912031250000000000,
124000000000000000000,900000003576278686,900019531250000000,900338541666666666,901406250000000000,903250000000000000,905833333333333333,909107142857142857,911875000000000000,
125000000000000000000,900000002980232238,900018310546875000,900325520833333333,901367187500000000,903125000000000000,905729166666666666,908928571428571428,911718750000000000,
126000000000000000000,900000002682209014,900017089843750000,900312500000000000,901328125000000000,903062500000000000,905625000000000000,908750000000000000,911562500000000000,
127000000000000000000,900000002384185791,900015869140625000,900299479166666666,901289062500000000,903000000000000000,905520833333333333,908571428571428571,911406250000000000,
128000000000000000000,900000002086162567,900014648437500000,900286458333333333,901250000000000000,902937500000000000,905416666666666666,908392857142857142,911250000000000000,
129000000000000000000,900000001788139343,900013427734375000,900273437500000000,901210937500000000,902875000000000000,905312500000000000,908214285714285714,911093750000000000,
130000000000000000000,900000001490116119,900012207031250000,900260416666666666,901171875000000000,902812500000000000,905208333333333333,908035714285714285,910937500000000000,
131000000000000000000,900000001341104507,900011596679687500,900247395833333333,901132812500000000,902750000000000000,905104166666666666,907857142857142857,910781250000000000,
132000000000000000000,900000001192092895,900010986328125000,900234375000000000,901093750000000000,902687500000000000,905000000000000000,907678571428571428,910625000000000000,
133000000000000000000,900000001043081283,900010375976562500,900221354166666666,901054687500000000,902625000000000000,904895833333333333,907500000000000000,910468750000000000,
134000000000000000000,900000000894069671,900009765625000000,900208333333333333,901015625000000000,902562500000000000,904791666666666666,907321428571428571,910312500000000000,
135000000000000000000,900000000745058059,900009155273437500,900195312500000000,900976562500000000,902500000000000000,904687500000000000,907142857142857142,910156250000000000,
136000000000000000000,900000000670552253,900008544921875000,900188802083333333,900937500000000000,902437500000000000,904583333333333333,906964285714285714,910000000000000000,
137000000000000000000,900000000596046447,900007934570312500,900182291666666666,900898437500000000,902375000000000000,904479166666666666,906785714285714285,909843750000000000,
138000000000000000000,900000000521540641,900007324218750000,900175781250000000,900859375000000000,902312500000000000,904375000000000000,906607142857142857,909687500000000000,
139000000000000000000,900000000447034835,900006713867187500,900169270833333333,900820312500000000,902250000000000000,904270833333333333,906428571428571428,909531250000000000,
140000000000000000000,900000000372529029,900006103515625000,900162760416666666,900781250000000000,902187500000000000,904166666666666666,906250000000000000,909375000000000000,
141000000000000000000,900000000335276126,900005798339843750,900156250000000000,900761718750000000,902125000000000000,904062500000000000,906160714285714285,909218750000000000,
142000000000000000000,900000000298023223,900005493164062500,900149739583333333,900742187500000000,902062500000000000,903958333333333333,906071428571428571,909062500000000000,
143000000000000000000,900000000260770320,900005187988281250,900143229166666666,900722656250000000,902000000000000000,903854166666666666,905982142857142857,908906250000000000,
144000000000000000000,900000000223517417,900004882812500000,900136718750000000,900703125000000000,901937500000000000,903750000000000000,905892857142857142,908750000000000000,
145000000000000000000,900000000186264514,900004577636718750,900130208333333333,900683593750000000,901875000000000000,903645833333333333,905803571428571428,908593750000000000,
146000000000000000000,900000000167638063,900004272460937500,900123697916666666,900664062500000000,901812500000000000,903541666666666666,905714285714285714,908437500000000000,
147000000000000000000,900000000149011612,900003967285156250,900117187500000000,900644531250000000,901750000000000000,903437500000000000,905625000000000000,908281250000000000,
148000000000000000000,900000000130385160,900003662109375000,900110677083333333,900625000000000000,901687500000000000,903333333333333333,905535714285714285,908125000000000000,
149000000000000000000,900000000111758709,900003356933593750,900104166666666666,900605468750000000,901625000000000000,903229166666666666,905446428571428571,907968750000000000,
